category,tool,recall_substrate,precision,f1,f0_5
0C,ours,0.833333,1.000000,0.909091,0.961538
0C,undark,0.166667,0.583333,0.259259,0.388889
0C,fqlite,0.797619,0.797619,0.797619,0.797619
0C,bring2lite,0.476190,1.000000,0.645161,0.819672
0C,sqldrp,0.000000,0.000000,0.000000,0.000000
0D,ours,1.000000,1.000000,1.000000,1.000000
0D,undark,0.052632,0.090909,0.066667,0.079365
0D,fqlite,1.000000,1.000000,1.000000,1.000000
0D,bring2lite,0.368421,1.000000,0.538462,0.744681
0D,sqldrp,0.000000,1.000000,0.000000,0.000000
0E,ours,1.000000,1.000000,1.000000,1.000000
0E,undark,0.750000,0.333333,0.461538,0.375000
0E,fqlite,0.500000,0.250000,0.333333,0.277778
0E,bring2lite,0.750000,0.375000,0.500000,0.416667
0E,sqldrp,0.000000,1.000000,0.000000,0.000000
0C,sqlite_dissect,0.607143,0.689189,0.645570,0.671053
0D,sqlite_dissect,0.894737,0.857143,0.875537,0.864407
0E,sqlite_dissect,0.750000,0.004717,0.009375,0.005887
